	X	Y	id	Name	Line	Info	Open_date	Close_date	Start_map	End_map
0	2.28387568716049	48.87671727241529	19081	Porte Maillot	1				1908	1950
1	2.2775936853855	48.8722530788523	19082	Porte Dauphine	2 Nord				1908	1908
2	2.27746560259366	48.8707801267461	19083	Porte Dauphine	2 Nord				1908	1908
3	2.28559885987542	48.8699475885992	19084	Victor Hugo	2 Nord				1908	1908
4	2.28828859850403	48.875327065856396	19085	Obligado	1				1908	1915
5	2.2951410278674103	48.8747506932931	19086	Etoile	2 Nord				1908	1908
6	2.2985352218511297	48.8780808458809	19087	Ternes	2 Nord				1908	1908
7	2.30327428514916	48.879169549611596	19088	Courcelles	2 Nord				1908	1908
8	2.30814143123904	48.8805144189259	19089	Monceau	2 Nord				1908	1908
9	2.31307261872483	48.881218874281	190810	Villiers	2 Nord				1908	1908
10	2.29219512365511	48.87058800255841	190811	Kleber	2 Sud				1908	1908
11	2.3000722153532003	48.8714205407053	190812	Alma	1				1908	1915
12	2.28976155061018	48.8672578499706	190813	Boissiere	2 Sud				1908	1908
13	2.31941271692084	48.882179495219795	190814	Rome	2 Nord				1908	1908
14	2.3049393614430698	48.8700116299951	190815	Marbeuf	1				1908	1915
15	2.2876481845448398	48.86418386296639	190816	Trocadero	2 Sud				1908	1908
16	2.2847663217284704	48.858676302917395	190817	Passy	2 Sud				1908	1908
17	2.31345686710034	48.867385932762396	190818	Champs-Elysees	1				1908	1915
18	2.32773809839036	48.883972654305495	190819	Clichy	2 Nord				1908	1908
19	2.33177270633328	48.883972654305495	190820	Blanche	2 Nord				1908	1908
20	2.33740834917419	48.8826918263871	190821	Pigalle	2 Nord				1908	1908
21	2.32287095230049	48.8759674798156	190822	Gare Saint-Lazare	3				1908	1950
22	2.2889930538591496	48.8540012810153	190823	Grenelle	2 Sud				1908	1908
23	2.32447198719847	48.8657848978644	190824	Concorde	1				1908	1950
24	2.3299155058516203	48.864119821570505	190825	Tuileries	1				1908	1950
25	2.3367679352149904	48.862070496901104	190826	Palais Royal	1				1908	1950
26	2.32908296770467	48.873277741187	190827	Caumartin	3				1908	1915
27	2.33260524448023	48.870908209538	190828	Opera	3				1908	1950
28	2.34426077853756	48.88339628174229	190829	Anvers	2 Nord				1908	1908
29	2.34938409021111	48.884356902681	190830	Barbes	4				1908	1908
30	2.29283553761431	48.8501587972601	190831	Dupleix	2 Sud				1908	1908
31	2.2970622697449903	48.848685845154	190832	Motte-Picquet	2 Sud				1908	1908
32	2.30128900187566	48.847276934443705	190833	Cambronne	2 Sud				1908	1908
33	2.3076931414676003	48.84522760977429	190834	Sevres	2 Sud				1908	1908
34	2.3489998418355897	48.888391510624	190835	Chateau-Rouge	4				1908	1950
35	2.33638368683948	48.8693712160359	190836	4 Septembre	3				1908	1950
36	2.34125083292935	48.8682825123053	190837	Bourse	3				1908	1950
37	2.3457337306437003	48.867385932762396	190838	Sentier	3				1908	1950
38	2.3539950707173	48.869435257431796	190839	Saint-Denis	4				1908	1915
39	2.35572418840712	48.87244520304	190840	Rue du Chateau d'Eau	4				1908	1950
40	2.3572611819091898	48.8768000179626	190841	Gare de l'Est	4				1908	1950
41	2.36103962426843	48.870972250933896	190842	Lancry	5				1908	1950
42	2.35578822980304	48.8654646908848	190843	Arts et Metiers	3				1908	1950
43	2.34560564785187	48.8623907038807	190844	Halles	4				1908	1950
44	2.3415710399089504	48.860469462003095	190845	Louvre	1				1908	1950
45	2.34880771764783	48.86399173877871	190846	Etienne-Marcel	4				1908	1950
46	2.35258616000708	48.8570112266235	190847	Hotel de Ville	1				1908	1950
47	2.3465022273947405	48.8587403443133	190848	Chatelet	1				1908	1950
48	2.34778305531312	48.8546416949745	190849	Cite	4				1908	1950
49	2.3470145585620896	48.859765006648	190850	Chatelet	4				1908	1950
50	2.34791113810496	48.8587403443133	190851	Chatelet	4				1908	1908
51	2.3424035780559	48.852656411701005	190852	Place Saint-Michel	4				1908	1950
52	2.3380487631333797	48.851759832158095	190853	Odeon	4				1908	1950
53	2.33471861054557	48.8524642875132	190854	Saint-Germain-des-Pres	4				1908	1950
54	2.33113229237409	48.8504149628438	190855	Saint Sulpice	4				1908	1950
55	2.3288268021209904	48.8480454311948	190856	Vaugirard	4				1908	1908
56	2.32562473232502	48.8432423265008	190857	Gare Montparnasse	4				1908	1915
57	2.3208856690269903	48.84164129160279	190858	Maine	2 Sud				1908	1908
58	2.31225086734149	48.8414730980403	190859	Pasteur	2 Sud				1908	1908
59	2.35515227000889	48.88080327404389	190860	Gare du Nord	5				1908	1950
60	2.3509975095764597	48.8844445247599	190861	Barbes	2 Nord				1908	1908
61	2.35916698233685	48.8851447652823	190862	La Chapelle	2 Nord				1908	1908
62	2.3642087140975403	48.885051399879295	190863	Aubervilliers	2 Nord				1908	1908
63	2.3490835188154597	48.8914002472816	190864	Marcadet	4				1908	1915
64	2.3466093356366	48.894901449893204	190865	Simplon	4				1908	1950
65	2.36920376315675	48.882670582103394	190866	Allemagne	2 Nord				1908	1908
66	2.3706976096043597	48.8776288503427	190867	Combat	2 Nord				1908	1908
67	2.36518905082879	48.866938511702	190868	Place de la Republique	3				1908	1950
68	2.3435282773384	48.8984026525048	190869	Porte de Clignancourt	4				1908	1950
69	2.3762061683799396	48.87212029156711	190870	Belleville	2 Nord				1908	1908
70	2.37975405369302	48.8689925505674	190871	Couronnes	2 Nord				1908	1908
71	2.3834886698120497	48.8666117327915	190872	Menilmontant	2 Nord				1908	1908
72	2.38656972811026	48.862830433971006	190873	Pere-Lachaise	3				1908	1950
