WKT,id,Name,Info,Start_map,End_map,Open_Date,Close_Date
"MULTILINESTRING ((2.33341977870728 48.8700526993354,2.32692212664833 48.8689925413106,2.32553737918724 48.868651176254,2.32501975193843 48.8686943118581,2.32437271787741 48.8688668542744,2.32420017546114 48.8687805830663,2.32291103452723 48.8669424275598,2.32156890361301 48.86606304001,2.31967093703403 48.8655454127612,2.31768669924692 48.864768971888,2.31565932585574 48.8636043105781,2.31453780014998 48.8621808356439,2.31429461441525 48.8602721299214,2.3139770372971 48.8578241396331,2.31113008742863 48.8579535464453,2.31031051095135 48.857781004029,2.30967443052762 48.8574643654366,2.3055890589228 48.8549537188867,2.30168195807891 48.8525322077173))","8","8",Line 8 was apparently added for the Exposition Universelle,"1915","1950",,
"MULTILINESTRING ((2.36216075573843 48.8793311565875,2.36464495716522 48.881595216614,2.36612798261493 48.8828859255964,2.36881378258833 48.8854239285447,2.37326080579852 48.8894157446547,2.37599204840005 48.8919719076023,2.37956367334052 48.8952984210272,2.38075095239387 48.8963442340655,2.38148425766302 48.8964305052736,2.38260578336878 48.896646183294,2.38338040979651 48.8973643609437,2.38407239390708 48.8989755059136,2.38428807192742 48.899881353599,2.38359790226234 48.9003127096397,2.38230383414031 48.9006146588682,2.38118230843455 48.9008303368885,2.38066468118574 48.9005283876601,2.38066468118574 48.9001401672235,2.3817862068915 48.8997950823909,2.38333908863793 48.8995794043706,2.38411552951115 48.8993205907462,2.38338040979651 48.8973643609437))","7",7 bis,,"1915","1950",,
"MULTILINESTRING ((2.33360657323175 48.8701678528548,2.33376118262637 48.8712758868496,2.33352926853444 48.8718943244281,2.33452834578167 48.874147537481,2.34059094237247 48.8757245157162,2.34465279034398 48.8768450255015,2.34941495693127 48.8781055990099,2.35517153918174 48.8774939750879,2.35726118190919 48.8768000179626,2.35983018442105 48.8773645682757,2.36216075573843 48.8793311565875,2.36181442220816 48.8810310946215,2.36185755781223 48.8815055862662,2.36280654110172 48.8818506710988,2.36819849161018 48.8833172816371,2.36892972385055 48.8834879744711,2.36964081883208 48.8834223704603,2.37173561114373 48.8827996543883,2.37543179350743 48.8808368416114,2.38014705393693 48.8784860939815,2.38062154558167 48.8783566871693,2.38113939022602 48.878420742387,2.38256264776472 48.8790037212303,2.38398612269895 48.8792625348547,2.38674680135928 48.879435077271,2.38817759231459 48.8793311565875,2.38873103914639 48.8792193992506,2.3917936670352 48.8763293137781,2.39251956773242 48.8760746750241,2.39416612525892 48.8771057546513,2.39524451536062 48.8774077038798,2.40029138103653 48.8780978735449,2.40072273707721 48.8783998227733,2.40067960147314 48.878831178814,2.39871738748205 48.8798563955493,2.39684053271112 48.8807722809971,2.39314985448662 48.8815371602272,2.39213875186774 48.8815487218703,2.39071527693351 48.880729145393,2.389119259583 48.879478212875,2.38890358156267 48.879435077271,2.38817759231459 48.8793311565875))","7","7",,"1915","1950",,
"MULTILINESTRING ((2.31307261872483 48.881218874281,2.30800472402171 48.8830864543515,2.30424995857984 48.8837270698757,2.3030290302717 48.8839868179824,2.29881153747407 48.8845554686967,2.29713258390867 48.8847191887692,2.29605419380698 48.8856681720587,2.29536402414189 48.8862720705157,2.29467385447681 48.8863583417238,2.29346605756292 48.8859701212872,2.29198772890263 48.8854558323277))","3","3",Extension de la ligne 3 (carte 1915),"1915","1950",,
"MULTILINESTRING ((2.30168195807891 48.8525322077173,2.29674980035964 48.8494867488846,2.29469542227884 48.847601001469,2.29409059484232 48.8473772115469,2.28627639315456 48.8473029320632,2.27852161505377 48.8472732202697,2.27774312988024 48.8470833742202,2.27705296021516 48.8470402386161,2.27649219736228 48.8472127810324,2.27377465430602 48.8485931203626,2.27334329826534 48.8486362559666,2.27269626420433 48.8484637135504,2.27090026491449 48.8479722727443,2.26695922886332 48.8468245605958,2.2662952120328 48.8467384079869,2.2608067147359 48.8469297464347,2.25496753093251 48.8471696454283,2.25419109005929 48.8472990522405,2.25414795445522 48.8476872726772,2.2544499036837 48.8484205779463,2.25561456499352 48.849498968048,2.25957463818828 48.8493465119705,2.26368057420572 48.8492193427432,2.26575143194943 48.8488950695911,2.26786507654874 48.8488087983829,2.2685983818179 48.8485931203626,2.26938523855572 48.8483131330418))","8","8",This segment of line 8 becomes line 10 in-between 1915 and 1950,"1915","1915",,
"MULTILINESTRING ((2.29198772890263 48.8854558323277,2.29105046373513 48.8859701212872,2.29061910769445 48.8866171553482,2.28984266682123 48.8867465621604,2.28919563276021 48.886487748536,2.28923876836428 48.8858838500791,2.29018775165377 48.8854093584343,2.29198772890263 48.8854558323277))","3","3",This segment is extended in-between 1915 and 1950,"1915","1915",,
"MULTILINESTRING ((2.29198772890263 48.8854558323277,2.29198772890263 48.8854558323277))","3","3",Extension de la ligne 3 (carte 1915),"1915","1950",,
