"shapeid","x","y"
"0.0","2.283875687160487","48.87671727241535"
"0.0","2.2832165040094354","48.87746874538497"
"0.0","2.282300942768745","48.87746874538497"
"0.0","2.281995755688515","48.87688888993253"
"0.0","2.282331461476768","48.876614221560324"
"0.0","2.283124947885366","48.87649214672823"
"0.0","2.283875687160487","48.87671727241535"
"1.0","2.277593685385499","48.87225307885228"
"1.0","2.276654981784489","48.87244841791518"
"1.0","2.276136163748098","48.87235686179111"
"1.0","2.275769939251822","48.872173749542974"
"1.0","2.275586827003684","48.87174648763065"
"1.0","2.275739420543799","48.87131922571833"
"1.0","2.276349794704259","48.87092248251403"
"1.0","2.2774656025936606","48.87078012674614"
"1.0","2.2784555855578463","48.87092248251403"
"1.0","2.2797068525867896","48.87086144509799"
"1.0","2.277593685385499","48.87225307885228"
"1.0","2.2797068525867896","48.87086144509799"
"1.0","2.2843456962062865","48.869884846441245"
"1.0","2.28559885987542","48.86994758859919"
"1.0","2.2930435279928436","48.87315034819971"
"1.0","2.294599982102017","48.87412694685644"
"1.0","2.2951410278674054","48.87475069329314"
"1.0","2.2969194039117653","48.87720933636677"
"1.0","2.2978960025685016","48.87794178535932"
"1.0","2.2985352218511315","48.878080845880945"
"1.0","2.3032742851491643","48.879169549611575"
"1.0","2.308141431239036","48.880514418925884"
"1.0","2.3120261643831532","48.88139039936592"
"1.0","2.3130726187248274","48.881218874281"
"1.0","2.3137962494484876","48.88169558644615"
"1.0","2.315871521594052","48.88160403032208"
"1.0","2.3180993872797315","48.88193973611033"
"1.0","2.3194127169208443","48.88217949521979"
"1.0","2.3252407649571145","48.88337411538742"
"1.0","2.3263394384459426","48.88328255926335"
"1.0","2.3271024061465178","48.88346567151149"
"1.0","2.327738098390362","48.88397265430553"
"1.0","2.3287809350877833","48.884686419832406"
"1.0","2.3292387157081285","48.88474745724845"
"1.0","2.331772706333282","48.88397265430553"
"1.0","2.3374083491741864","48.88269182638714"
"1.0","2.3392793706476973","48.88242803543871"
"1.0","2.344260778537558","48.88339628174225"
"1.0","2.3464512670331037","48.88392345213183"
"1.0","2.3493840902111076","48.88435690268104"
"1.0","2.350997509576463","48.884444524759935"
"1.0","2.359166982336849","48.885144765282256"
"1.0","2.364208714097544","48.88505139987928"
"1.0","2.3665325769122423","48.88496108820461"
"1.0","2.3675396942770015","48.884777975956474"
"1.0","2.3686078490578066","48.88392345213183"
"1.0","2.3691266670941977","48.883221521847304"
"1.0","2.3692037631567513","48.882670582103394"
"1.0","2.3696760038386118","48.879986538796864"
"1.0","2.3706976096043646","48.8776288503427"
"1.0","2.371140901823716","48.87690414928654"
"1.0","2.3762061683799387","48.87212029156712"
"1.0","2.379754053693021","48.868992550567434"
"1.0","2.382341267668159","48.86704660659511"
"1.0","2.383488669812054","48.86661173279155"
"1.0","2.385972993922897","48.86442199770513"
"1.0","2.386491811959288","48.86368954871258"
"1.0","2.3865291387708885","48.86291311685181"
"1.0","2.386644405499403","48.86219413201945"
"1.0","2.387743078988231","48.85963056054552"
"1.0","2.3886281215208984","48.85886759284494"
"1.0","2.3893240074980437","48.858582308135624"
"1.0","2.391679992323199","48.85786047548018"
