X,Y,id,Name,Line,Info,Start_map,End_map,Open_date,Close_date
2.33767792737122,48.8822927553058,"195067",Pigalle,"12",,"1950","1950",,
2.33732825997441,48.8786503865892,"195068",Saint Georges,"12",,"1950","1950",,
2.33852295691348,48.8759113253142,"195069",Notre Dame de Lorette,"12",,"1950","1950",,
2.33243291641921,48.8762027148116,"195070",Trinite,"12",,"1950","1950",,
2.32707134966827,48.8755616579174,"195071",Gare Saint Lazare,"12",,"1950","1950",,
2.32392434309706,48.8664411666509,"195072",Concorde,"12",,"1950","1950",,
2.32115614287239,48.8610213220005,"195073",Chemin des Deputes,"12",,"1950","1950",,
2.32310845250453,48.8591272902678,"195074",Solferino,"12",,"1950","1950",,
2.32672168227147,48.8551061152046,"195075",Bac,"12",,"1950","1950",,
2.32774154551214,48.8516968580858,"195076",Sevres-Babylone,"12",,"1950","1950",,
2.32826604660734,48.8498028263531,"195077",Rennes,"12",,"1950","1950",,
2.3295481603956,48.8444995375017,"195078",Notre Dame des Champs,"12",,"1950","1950",,
2.32278792405746,48.8445578154011,"195079",Montparnasse,"12",,"1950","1950",,
2.31803827525092,48.8442955648535,"195080",Falguiere,"12",,"1950","1950",,
2.31302637589678,48.8427512005177,"195081",Pasteur,"12",,"1950","1950",,
2.30769394809558,48.8411485582823,"195082",Volontaires,"12",,"1950","1950",,
2.30215754764624,48.8394876381475,"195083",Vaugirard,"12",,"1950","1950",,
2.2966211471969,48.8371856611186,"195084",Convention,"12",,"1950","1950",,
2.28808343492502,48.8324651512618,"195085",Porte de Versaille,"12",,"1950","1950",,
2.30597475006131,48.8485789904643,"195086",Segur,"10",,"1950","1950",,
2.31617338246799,48.8466849587317,"195087",Duroc,"10",,"1950","1950",,
2.32063164177719,48.8484041567659,"195088",Vaneau,"10",,"1950","1950",,
2.3270130717688,48.8510849401414,"195089",Sevres-Babylone,"10",,"1950","1950",,
2.33080113523414,48.8519299696837,"195090",Croix-Rouge,"10",,"1950","1950",,
2.33537595034228,48.852221359181,"195091",Mabillon,"10",,"1950","1950",,
2.33945540330495,48.8523379149799,"195092",Odeon,"10",,"1950","1950",,
2.34443816370936,48.8509683843425,"195093",Cluny,"10",,"1950","1950",,
2.3489255619683,48.8498902432023,"195094",Saint Germain,"10",,"1950","1950",,
2.35227654118763,48.8462770134354,"195095",Card Lemoine,"10",,"1950","1950",,
2.35661824469791,48.8460147628878,"195096",Lemoine Jussieu,"10",,"1950","1950",,
2.36396126003071,48.8431300068642,"195097",Gare d'Orleans - Austerliz,"10",,"1950","1950",,
2.374859227231,48.8176042868978,"195098",Pierre Curie,"7",,"1950","1950",,
2.36874004778699,48.8208969882176,"195099",Porte d'Ivry,"7",,"1950","1950",,
2.36439834427672,48.8192360680828,"1950100",Porte de Choisy,"7",,"1950","1950",,
2.35996922391724,48.8183327606411,"1950101",Porte d'Italie,"7",,"1950","1950",,
2.35749241318991,48.8220042683075,"1950102",La Maison Blanche,"7",,"1950","1950",,
2.35688049524551,48.8256757759739,"1950103",Tolbiac,"7",,"1950","1950",,
2.35484076876417,48.8322320396639,"1950104",Place d'Italie,"7",,"1950","1950",,
2.3519851516903,48.8358744083806,"1950105",Gobelins,"7",,"1950","1950",,
2.35186859589137,48.840857168785,"1950106",Censier Daubenton,"7",,"1950","1950",,
2.35218912433843,48.8437710637583,"1950107",Monge,"7",,"1950","1950",,
2.35676393944657,48.8454902617926,"1950108",Lemoine Jussieu,"7",,"1950","1950",,
2.36119305980604,48.8513763296387,"1950109",Sully-Morland,"7",,"1950","1950",,
2.35714274579311,48.8531538055725,"1950110",Place Marie,"7",,"1950","1950",,
2.34665272388909,48.8570875637865,"1950111",Chatelet,"7",,"1950","1950",,
2.34158254663549,48.858340538625,"1950112",Pont Neuf,"7",,"1950","1950",,
2.33540508929201,48.8636146885268,"1950113",Palais Royal,"7",,"1950","1950",,
2.33377330810694,48.8664120277012,"1950114",Pyramides,"7",,"1950","1950",,
2.3286739919036,48.8970370638709,"1950116",Porte de Saint Ouen,"13",,"1950","1950",,
